,marca_temporal,lugar_residencia,lugar_residencia_py,estado_calles,problema_baches,estimacion_cantidad,tipo_camino,tiempo_reparaciones,como_denunciar,acceso_informacion,sufrio_accidentes,frecuencia_mantenimiento,denunciaria_baches,util_conocer,respuesta_gubernamental,regularidad_reparaciones
296,8/11/2022 23:16:43,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
298,8/11/2022 23:21:49,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO NUNCA,,SI,SI,LAMENTABLE,NUNCA
299,8/11/2022 23:25:49,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO SE,NO NUNCA,,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
302,8/11/2022 23:29:07,Paraguay,Central,Malo,SI,POCOS,MIXTO,NO SE REPARAN,SI,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
303,8/11/2022 23:30:16,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,NO SE,SI FRECUENTEMENTE,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
304,8/11/2022 23:35:45,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
307,8/11/2022 23:59:09,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,NO,LAMENTABLE,NUNCA
308,9/11/2022 0:05:29,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
309,9/11/2022 0:25:23,Paraguay,Central,Malo,SI,MUCHOS,PIEDRA,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
311,9/11/2022 0:49:29,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
